metric,value
final_checkpoint_graph_non_adjacent_records_original,16
runtime_execution_non_adjacent_backjump_events_added,19
runtime_execution_non_adjacent_backjump_runs_added,16
combined_non_adjacent_records,35
combined_unique_runs,32
combined_unique_source_project_pairs,32
combined_final_ok_records,22
combined_final_failed_records,13
strict_true_final_graph_non_adjacent_records,15
final_graph_input_marked_but_recomputed_previous_only_records,1
records_by_kind::final_checkpoint_graph_non_adjacent,16
records_by_kind::runtime_execution_backjump_non_adjacent,19
records_by_source::executionagent-runs-gpt4o,9
records_by_source::executionagent-runs-gpt54,13
records_by_source::installamatic-runs,2
records_by_source::projects-repo2run,9
records_by_source::setupbench-runs-all-gpt-5.4-multiblock,2
runs_by_source::executionagent-runs-gpt4o,8
runs_by_source::executionagent-runs-gpt54,13
runs_by_source::installamatic-runs,2
runs_by_source::projects-repo2run,7
runs_by_source::setupbench-runs-all-gpt-5.4-multiblock,2
added_runtime_events_by_source::executionagent-runs-gpt4o,7
added_runtime_events_by_source::installamatic-runs,2
added_runtime_events_by_source::projects-repo2run,8
added_runtime_events_by_source::setupbench-runs-all-gpt-5.4-multiblock,2
added_runtime_runs_by_source::executionagent-runs-gpt4o,6
added_runtime_runs_by_source::installamatic-runs,2
added_runtime_runs_by_source::projects-repo2run,6
added_runtime_runs_by_source::setupbench-runs-all-gpt-5.4-multiblock,2
